STIGID,VulnID
VCLU-80-000144,V-259066
VCLU-80-000151,V-259067
VCLU-80-000152,V-259068
VCLU-80-000154,V-259069
VCLU-80-000155,V-259070
VCPF-80-000001,V-259071
VCPF-80-000005,V-259072
VCPF-80-000013,V-259073
VCPF-80-000014,V-259074
VCPF-80-000025,V-259075
VCPF-80-000034,V-259076
VCPF-80-000036,V-259077
VCPF-80-000037,V-259078
VCPF-80-000057,V-259079
VCPF-80-000062,V-259080
VCPF-80-000065,V-259081
VCPF-80-000067,V-259082
VCPF-80-000070,V-259083
VCPF-80-000081,V-259084
VCPF-80-000124,V-259085
VCPF-80-000125,V-259086
VCPF-80-000126,V-259087
VCPF-80-000127,V-259088
VCPF-80-000129,V-259089
VCPF-80-000130,V-259090
VCPF-80-000134,V-259091
VCPF-80-000136,V-259092
VCPF-80-000137,V-259093
VCPF-80-000138,V-259094
VCPF-80-000139,V-259095
VCPF-80-000140,V-259096
VCPF-80-000141,V-259097
VCPF-80-000143,V-259098
VCPF-80-000144,V-259099
VCPF-80-000151,V-259100
VCPF-80-000152,V-259101
VCPF-80-000154,V-259102
VCPF-80-000155,V-259103
PHTN-40-000003,V-258801
PHTN-40-000004,V-258802
PHTN-40-000005,V-258803
PHTN-40-000007,V-258804
PHTN-40-000012,V-258805
PHTN-40-000013,V-258806
PHTN-40-000014,V-258807
PHTN-40-000016,V-258808
PHTN-40-000019,V-258809
PHTN-40-000021,V-258810
PHTN-40-000026,V-258811
PHTN-40-000030,V-258812
PHTN-40-000031,V-258813
PHTN-40-000035,V-258814
PHTN-40-000036,V-258815
PHTN-40-000037,V-258816
PHTN-40-000038,V-258817
PHTN-40-000039,V-258818
PHTN-40-000040,V-258819
PHTN-40-000041,V-258820
PHTN-40-000042,V-258821
PHTN-40-000043,V-258822
PHTN-40-000044,V-258823
PHTN-40-000046,V-258824
PHTN-40-000047,V-258825
PHTN-40-000049,V-258826
PHTN-40-000059,V-258827
PHTN-40-000067,V-258828
PHTN-40-000068,V-258829
PHTN-40-000069,V-258830
PHTN-40-000073,V-258831
PHTN-40-000074,V-258832
PHTN-40-000076,V-258833
PHTN-40-000078,V-258834
PHTN-40-000079,V-258835
PHTN-40-000080,V-258836
PHTN-40-000082,V-258837
PHTN-40-000086,V-258838
PHTN-40-000092,V-258839
PHTN-40-000093,V-258840
PHTN-40-000105,V-258841
PHTN-40-000107,V-258842
PHTN-40-000108,V-258843
PHTN-40-000110,V-258844
PHTN-40-000112,V-258845
PHTN-40-000130,V-258846
PHTN-40-000133,V-258847
PHTN-40-000160,V-258848
PHTN-40-000161,V-258849
PHTN-40-000173,V-258850
PHTN-40-000175,V-258851
PHTN-40-000182,V-258852
PHTN-40-000184,V-258853
PHTN-40-000185,V-258854
PHTN-40-000186,V-258855
PHTN-40-000187,V-258856
PHTN-40-000188,V-258857
PHTN-40-000192,V-258858
PHTN-40-000193,V-258859
PHTN-40-000194,V-258860
PHTN-40-000195,V-258861
PHTN-40-000196,V-258862
PHTN-40-000197,V-258863
PHTN-40-000199,V-258864
PHTN-40-000200,V-258865
PHTN-40-000201,V-258866
PHTN-40-000203,V-258867
PHTN-40-000204,V-258868
PHTN-40-000206,V-258869
PHTN-40-000207,V-258870
PHTN-40-000208,V-258871
PHTN-40-000209,V-258872
PHTN-40-000210,V-258873
PHTN-40-000211,V-258874
PHTN-40-000212,V-258875
PHTN-40-000213,V-258876
PHTN-40-000214,V-258877
PHTN-40-000215,V-258878
PHTN-40-000216,V-258879
PHTN-40-000217,V-258880
PHTN-40-000218,V-258881
PHTN-40-000219,V-258882
PHTN-40-000220,V-258883
PHTN-40-000221,V-258884
PHTN-40-000222,V-258885
PHTN-40-000223,V-258886
PHTN-40-000224,V-258887
PHTN-40-000225,V-258888
PHTN-40-000226,V-258889
PHTN-40-000227,V-258890
PHTN-40-000228,V-258891
PHTN-40-000229,V-258892
PHTN-40-000231,V-258893
PHTN-40-000232,V-258894
PHTN-40-000233,V-258895
PHTN-40-000234,V-258896
PHTN-40-000235,V-258897
PHTN-40-000236,V-258898
PHTN-40-000238,V-258899
PHTN-40-000239,V-258900
PHTN-40-000242,V-258901
PHTN-40-000243,V-258902
PHTN-40-000244,V-258903
PHTN-40-000246,V-258904
PHTN-40-000237,V-266062
PHTN-40-000247,V-266063
VCPG-80-000001,V-259166
VCPG-80-000005,V-259167
VCPG-80-000006,V-259168
VCPG-80-000007,V-259169
VCPG-80-000009,V-259170
VCPG-80-000010,V-259171
VCPG-80-000020,V-259172
VCPG-80-000032,V-259173
VCPG-80-000035,V-259174
VCPG-80-000036,V-259175
VCPG-80-000038,V-259176
VCPG-80-000051,V-259179
VCPG-80-000060,V-259180
VCPG-80-000070,V-259181
VCPG-80-000075,V-259182
VCPG-80-000110,V-259183
VCPG-80-000114,V-259184
VCPG-80-000122,V-259185
VCST-80-000001,V-258970
VCST-80-000005,V-258972
VCST-80-000013,V-258973
VCST-80-000014,V-258974
VCST-80-000025,V-258975
VCST-80-000034,V-258976
VCST-80-000036,V-258977
VCST-80-000037,V-258978
VCST-80-000057,V-258979
VCST-80-000062,V-258980
VCST-80-000065,V-258981
VCST-80-000067,V-258982
VCST-80-000070,V-258983
VCST-80-000081,V-258984
VCST-80-000125,V-258985
VCST-80-000126,V-258986
VCST-80-000127,V-258987
VCST-80-000129,V-258988
VCST-80-000130,V-258989
VCST-80-000134,V-258990
VCST-80-000136,V-258991
VCST-80-000137,V-258992
VCST-80-000139,V-258993
VCST-80-000140,V-258994
VCST-80-000141,V-258995
VCST-80-000142,V-258996
VCST-80-000143,V-258997
VCST-80-000144,V-258998
VCST-80-000151,V-258999
VCST-80-000152,V-259000
VCST-80-000154,V-259001
VCST-80-000155,V-259002
VCST-80-000138,V-266136
VCUI-80-000001,V-259104
VCUI-80-000005,V-259105
VCUI-80-000013,V-259106
VCUI-80-000014,V-259107
VCUI-80-000025,V-259108
VCUI-80-000034,V-259109
VCUI-80-000036,V-259110
VCUI-80-000037,V-259111
VCUI-80-000057,V-259112
VCUI-80-000062,V-259113
VCUI-80-000065,V-259114
VCUI-80-000067,V-259115
VCUI-80-000070,V-259116
VCUI-80-000081,V-259117
VCUI-80-000124,V-259118
VCUI-80-000125,V-259119
VCUI-80-000126,V-259120
VCUI-80-000127,V-259121
VCUI-80-000129,V-259122
VCUI-80-000130,V-259123
VCUI-80-000134,V-259124
VCUI-80-000136,V-259125
VCUI-80-000137,V-259126
VCUI-80-000138,V-259127
VCUI-80-000139,V-259128
VCUI-80-000140,V-259129
VCUI-80-000141,V-259130
VCUI-80-000142,V-259131
VCUI-80-000143,V-259132
VCUI-80-000151,V-259133
VCUI-80-000152,V-259134
VCUI-80-000154,V-259135
VCUI-80-000155,V-259136
VCLD-80-000001,V-259137
VCLD-80-000004,V-259138
VCLD-80-000005,V-259139
VCLD-80-000010,V-259140
VCLD-80-000019,V-259141
VCLD-80-000022,V-259142
VCLD-80-000031,V-259143
VCLD-80-000033,V-259144
VCLD-80-000034,V-259145
VCLD-80-000035,V-259146
VCLD-80-000040,V-259147
VCLD-80-000060,V-259149
VCLD-80-000061,V-259150
VCLD-80-000062,V-259151
VCLD-80-000063,V-259152
VCLD-80-000064,V-259153
VCLD-80-000097,V-259155
VCLD-80-000098,V-259156
VCLD-80-000099,V-259157
VCLD-80-000100,V-259158
VCLD-80-000101,V-259159
VCLD-80-000102,V-259160
VMCH-80-000189,V-258703
VMCH-80-000191,V-258704
VMCH-80-000192,V-258705
VMCH-80-000193,V-258706
VMCH-80-000194,V-258707
VMCH-80-000195,V-258708
VMCH-80-000196,V-258709
VMCH-80-000197,V-258710
VMCH-80-000198,V-258711
VMCH-80-000199,V-258712
VMCH-80-000200,V-258713
VMCH-80-000201,V-258714
VMCH-80-000202,V-258715
VMCH-80-000203,V-258716
VMCH-80-000204,V-258717
VMCH-80-000205,V-258718
VMCH-80-000206,V-258719
VMCH-80-000207,V-258720
VMCH-80-000208,V-258721
VMCH-80-000209,V-258722
VMCH-80-000210,V-258723
VMCH-80-000211,V-258724
VMCH-80-000212,V-258725
VMCH-80-000213,V-258726
VMCH-80-000214,V-258727
